step,toolgroup,unit,pt_min,pt_offset_min,cascade_interval_min,batch_min_wafers,batch_max_wafers,sample_prob
1,Diffusion_FE_120,Batch,501.330000,25.070000,,125,150,1.0000
2,WE_FE_84,Wafer,0.852000,0.040000,0.639000,,,1.0000
3,DefMEt_FE_118,Lot,17.994000,0.900000,,,,0.5600
4,Diffusion_FE_125,Batch,440.400000,22.020000,,75,100,1.0000
5,WE_FE_84,Wafer,1.140000,0.060000,0.855000,,,1.0000
6,DefMEt_FE_118,Lot,29.880000,1.490000,,,,0.5900
7,TF_Met_FE_45,Lot,8.514000,0.430000,,,,0.3600
8,Diffusion_FE_127,Batch,437.580000,21.880000,,100,125,1.0000
9,DefMEt_FE_118,Lot,23.658000,1.180000,,,,0.5900
10,TF_Met_FE_45,Lot,9.804000,0.490000,,,,0.3900
11,WE_FE_108,Wafer,0.990000,0.050000,0.742500,,,1.0000
12,WE_FE_83,Wafer,1.038000,0.050000,0.778500,,,1.0000
13,WE_FE_84,Wafer,0.900000,0.050000,0.675000,,,1.0000
14,LithoTrack_FE_115,Wafer,2.172000,0.110000,,,,1.0000
15,LithoTrack_FE_115,Wafer,2.676000,0.130000,,,,1.0000
16,Litho_FE_92,Wafer,2.640000,0.130000,,,,1.0000
17,LithoMet_FE_19,Lot,28.104000,1.410000,,,,1.0000
18,Litho_REG_FE_64,Lot,25.272000,1.260000,,,,1.0000
19,DefMet_FE_10,Lot,6.876000,0.340000,,,,0.5700
20,Implant_128,Wafer,1.140000,0.060000,0.855000,,,1.0000
21,DE_FE_1,Lot,135.234000,6.760000,,,,1.0000
22,DE_FE_86,Lot,162.798000,8.140000,,,,1.0000
23,WE_FE_108,Wafer,1.002000,0.050000,0.751500,,,1.0000
24,WE_FE_108,Wafer,0.978000,0.050000,0.733500,,,1.0000
25,LithoMet_FE_19,Lot,18.906000,0.950000,,,,1.0000
26,DefMet_FE_43,Lot,19.374000,0.970000,,,,0.5700
27,Diffusion_FE_44,Batch,349.992000,17.500000,,100,125,1.0000
28,DefMet_FE_43,Lot,6.372000,0.320000,,,,0.5100
29,DE_FE_51,Lot,72.492000,3.620000,,,,1.0000
30,DE_FE_86,Lot,84.336000,4.220000,,,,1.0000
31,WE_FE_108,Wafer,0.930000,0.050000,0.697500,,,1.0000
32,WE_FE_83,Wafer,0.948000,0.050000,0.711000,,,1.0000
33,WE_FE_84,Wafer,1.140000,0.060000,0.855000,,,1.0000
34,LithoTrack_FE_95,Wafer,2.784000,0.140000,,,,1.0000
35,LithoTrack_FE_115,Wafer,1.692000,0.080000,,,,1.0000
36,Litho_FE_92,Wafer,2.226000,0.110000,,,,1.0000
37,LithoMet_FE_19,Lot,16.902000,0.850000,,,,0.3000
38,Litho_REG_FE_64,Lot,21.306000,1.070000,,,,0.4900
39,DE_FE_71,Lot,164.082000,8.200000,,,,1.0000
40,WE_FE_41,Wafer,0.906000,0.050000,0.679500,,,1.0000
41,DE_FE_59,Lot,108.438000,5.420000,,,,1.0000
42,WE_FE_47,Wafer,1.140000,0.060000,0.855000,,,1.0000
43,DefMet_FE_43,Lot,9.744000,0.490000,,,,0.5300
44,Delay_32,Lot,180.000000,9.000000,,,,1.0000
45,DE_FE_54,Lot,97.818000,4.890000,,,,1.0000
46,DE_FE_86,Lot,105.036000,5.250000,,,,1.0000
47,WE_FE_108,Wafer,0.792000,0.040000,0.594000,,,1.0000
48,LithoMet_FE_19,Lot,20.670000,1.030000,,,,1.0000
49,DefMet_FE_34,Lot,25.224000,1.260000,,,,0.5600
50,Delay_32,Lot,240.000000,12.000000,,,,1.0000
51,WE_FE_8,Wafer,1.086000,0.050000,0.814500,,,1.0000
52,WE_FE_83,Wafer,0.960000,0.050000,0.720000,,,1.0000
53,DefMet_FE_43,Lot,29.298000,1.460000,,,,0.5600
54,Dielectric_FE_112,Lot,35.928000,1.800000,,,,1.0000
55,WE_FE_108,Wafer,0.936000,0.050000,0.702000,,,1.0000
56,Dielectric_FE_112,Lot,44.940000,2.250000,,,,1.0000
57,WE_FE_108,Wafer,1.080000,0.050000,0.810000,,,1.0000
58,Dielectric_FE_112,Lot,33.324000,1.670000,,,,1.0000
59,Planar_FE_79,Lot,77.070000,3.850000,53.949000,,,1.0000
60,WE_FE_108,Wafer,1.194000,0.060000,0.895500,,,1.0000
61,Litho_FE_111,Wafer,1.920000,0.100000,,,,1.0000
62,LithoMet_FE_19,Lot,24.606000,1.230000,,,,1.0000
63,Litho_REG_FE_64,Lot,20.196000,1.010000,,,,0.2300
64,Implant_132,Wafer,1.050000,0.050000,0.787500,,,1.0000
65,DE_FE_86,Lot,155.718000,7.790000,,,,1.0000
66,WE_FE_108,Wafer,1.068000,0.050000,0.801000,,,1.0000
67,WE_FE_84,Wafer,1.128000,0.060000,0.846000,,,1.0000
68,Litho_FE_98,Wafer,3.300000,0.170000,,,,1.0000
69,LithoMet_FE_19,Lot,22.854000,1.140000,,,,0.1700
70,Litho_REG_FE_64,Lot,16.452000,0.820000,,,,0.1900
71,Implant_132,Wafer,1.062000,0.050000,0.796500,,,1.0000
72,DE_FE_86,Lot,139.158000,6.960000,,,,1.0000
73,WE_FE_108,Wafer,0.786000,0.040000,0.589500,,,1.0000
